date,entry_time,direction,model,grade,score,entry,sl,tp,current_sl,risk_pts,breakeven_moved,bars_held,qty,exit_price,reason,pts,pnl,exit_time
2026-03-24,09:20,BUY,Judas Swing Model,A+,86,22816.7,22752.78,22944.54,22752.78,63.92000000000189,False,4,50,22752.78,SL,-63.92000000000189,-3196.0,09:40
2026-03-25,14:15,SELL,Turtle Soup Model (PWH),A+,92,23375.75,23408.41,23310.43,23375.75,32.659999999999854,True,2,50,23337.25,NEAR_TP,38.5,1925.0,14:25
2026-03-27,09:20,BUY,Judas Swing Model,A,76,23075.1,23017.7,23189.9,23017.7,57.39999999999782,False,2,50,23017.7,SL,-57.39999999999782,-2870.0,09:30
2026-03-30,13:30,BUY,Turtle Soup Model (PWL),A+,87,22485.8,22459.35,22538.7,22459.35,26.450000000000728,False,2,50,22459.35,SL,-26.450000000000728,-1322.5,13:40
2026-04-01,09:20,SELL,Judas Swing Model,A,76,22899.55,22913.92,22870.81,22913.92,14.369999999998981,False,1,50,22913.92,SL,-14.369999999998981,-718.5,09:25
2026-04-01,10:30,SELL,Silver Bullet Model,A,80,22796.0,22945.39,22497.22,22796.0,149.38999999999942,True,57,50,22681.1,SQUAREOFF,114.90000000000146,5745.0,15:15
2026-04-07,09:40,SELL,Judas Swing Model,A,81,22801.8,22908.82,22587.76,22908.82,107.02000000000044,False,4,50,22908.82,SL,-107.02000000000044,-5351.0,10:00
2026-04-08,09:50,SELL,Judas Swing Model,A+,86,23922.05,23971.83,23822.49,23922.05,49.780000000002474,True,8,50,23922.05,BREAKEVEN,0.0,0.0,10:30
2026-04-09,09:30,SELL,Judas Swing Model,A,81,23890.95,23996.78,23679.29,23890.95,105.82999999999811,True,28,50,23890.95,BREAKEVEN,0.0,0.0,11:50
2026-04-10,09:20,SELL,Judas Swing Model,A,76,23918.85,23985.53,23785.49,23985.53,66.68000000000029,False,5,50,23985.53,SL,-66.68000000000029,-3334.0,09:45
2026-04-13,14:40,BUY,Turtle Soup Model (PDL),A+,92,23866.35,23851.95,23895.15,23866.35,14.399999999997817,True,2,50,23881.8,NEAR_TP,15.450000000000728,772.5,14:50
2026-04-15,09:40,BUY,Judas Swing Model,A,81,24207.35,24138.0,24346.05,24138.0,69.34999999999854,False,67,50,24223.0,SQUAREOFF,15.650000000001455,782.5,15:15
2026-04-16,09:20,SELL,Judas Swing Model,A,83,24387.5,24402.19,24358.12,24402.19,14.68999999999869,False,2,50,24358.12,TP,29.38000000000102,1469.0,09:30
